Macrotrends Data Download

Sweden Healthcare Spending 2000-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per Capita (US $), % of GDP, 
2000-12-31,2173.1938,7.3269
2001-12-31,2155.8542,7.9003
2002-12-31,2459.0984,8.2101
2003-12-31,3110.1997,8.3172
2004-12-31,3488.1729,8.1296
2005-12-31,3547.6333,8.1508
2006-12-31,3765.3975,8.0523
2007-12-31,4310.3267,7.9961
2008-12-31,4627.564,8.2082
2009-12-31,4136.1733,8.7704
2010-12-31,4416.1455,8.3196
2011-12-31,6351.2168,10.4165
2012-12-31,6254.4424,10.7352
2013-12-31,6696.8721,10.9049
2014-12-31,6605.9116,10.9479
2015-12-31,5598.6816,10.8042
2016-12-31,5680.7256,10.8524
2017-12-31,5837.7705,10.7851
2018-12-31,6005.0659,10.9411
2019-12-31,5671.3857,10.8675
