Macrotrends Data Download

Romania Healthcare Spending 2000-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per Capita (US $), % of GDP, 
2000-12-31,69.8935,4.2088
2001-12-31,78.8175,4.376
2002-12-31,96.577,4.5769
2003-12-31,143.5455,5.3714
2004-12-31,190.7951,5.4773
2005-12-31,254.5296,5.5278
2006-12-31,291.0041,5.0711
2007-12-31,415.0679,5.0222
2008-12-31,521.3156,5.0227
2009-12-31,449.3769,5.2784
2010-12-31,472.2075,5.7661
2011-12-31,426.5997,4.702
2012-12-31,401.6711,4.7335
2013-12-31,495.2362,5.1966
2014-12-31,503.3475,5.0217
2015-12-31,442.2404,4.9472
2016-12-31,476.2451,5.0035
2017-12-31,555.1131,5.1508
2018-12-31,687.1541,5.5605
2019-12-31,738.5582,5.7445
